"","Species","length","min","max","median","mean","iqr","mad","sd","se","ci","range","cv","var"
"1","Acacia nilotica",10830,0.0660768002271652,0.897892236709595,0.55962547659874,0.544572749229652,0.218792729079723,0.160624280306697,0.160191056544756,0.00153930272245875,0.00301731514405041,0.83181543648243,0.294159149115267,0.0256611745969253
"2","Adansonia digitata",10944,0.190241202712059,0.967458128929138,0.581983774900436,0.575432327089897,0.176987871527672,0.130887495625019,0.133110330682931,0.00127240017497408,0.00249413438331983,0.777216926217079,0.231322302235092,0.0177183601345193
"3","Anogeissus leiocarpus",10830,0.243790626525879,1,0.606328785419464,0.621621503356916,0.1727504581213,0.126465998733044,0.139832018703633,0.00134366931413095,0.00263383784811814,0.756209373474121,0.224947203319872,0.0195529934547332
"4","Balanites aegyptiaca",10830,0.131047919392586,0.99998950958252,0.619686424732208,0.612351063252981,0.161670655012131,0.119025434410572,0.131178782773101,0.00126051891913855,0.00247084785116446,0.868941590189934,0.214221531806024,0.0172078730498324
"5","Faidherbia albida",10830,0.0661503970623016,0.978543817996979,0.641972422599792,0.643486717637088,0.100247025489807,0.0737477739036083,0.0932575285925663,0.00089612722925143,0.0017565734279332,0.912393420934677,0.144925335731889,0.00869696663919331
