"","Probabilite","Species"
"145",0.59105384349823,"Faidherbia albida"
"146",0.621284782886505,"Faidherbia albida"
"147",0.585009872913361,"Faidherbia albida"
"148",0.565399885177612,"Faidherbia albida"
"149",0.566524684429169,"Faidherbia albida"
"150",0.571903586387634,"Faidherbia albida"
"151",0.619887053966522,"Faidherbia albida"
"152",0.620788216590881,"Faidherbia albida"
"153",0.621731758117676,"Faidherbia albida"
"154",0.645267009735107,"Faidherbia albida"
"155",0.634031772613525,"Faidherbia albida"
"156",0.587949514389038,"Faidherbia albida"
"157",0.582356870174408,"Faidherbia albida"
"158",0.550677180290222,"Faidherbia albida"
"159",0.562288165092468,"Faidherbia albida"
"160",0.558973610401154,"Faidherbia albida"
"161",0.563488066196442,"Faidherbia albida"
"162",0.504299342632294,"Faidherbia albida"
"163",0.52061140537262,"Faidherbia albida"
"164",0.513811230659485,"Faidherbia albida"
"165",0.563523471355438,"Faidherbia albida"
"166",0.551259696483612,"Faidherbia albida"
"167",0.680033326148987,"Faidherbia albida"
"168",0.765171885490417,"Faidherbia albida"
"169",0.724029123783112,"Faidherbia albida"
"170",0.752674102783203,"Faidherbia albida"
"171",0.826583802700043,"Faidherbia albida"
"172",0.850027561187744,"Faidherbia albida"
"173",0.862831056118011,"Faidherbia albida"
"174",0.845194458961487,"Faidherbia albida"
"175",0.660641431808472,"Faidherbia albida"
"176",0.636996209621429,"Faidherbia albida"
"177",0.65260374546051,"Faidherbia albida"
"178",0.635473787784576,"Faidherbia albida"
"179",0.538353264331818,"Faidherbia albida"
"180",0.507914185523987,"Faidherbia albida"
"181",0.646376192569733,"Faidherbia albida"
"182",0.603717744350433,"Faidherbia albida"
"183",0.611782789230347,"Faidherbia albida"
"184",0.632518231868744,"Faidherbia albida"
"185",0.68960303068161,"Faidherbia albida"
"186",0.714177191257477,"Faidherbia albida"
"187",0.780369222164154,"Faidherbia albida"
"188",0.823386371135712,"Faidherbia albida"
"189",0.760342955589294,"Faidherbia albida"
"190",0.778576016426086,"Faidherbia albida"
"191",0.747516274452209,"Faidherbia albida"
"192",0.674475967884064,"Faidherbia albida"
"193",0.646410524845123,"Faidherbia albida"
"194",0.632620513439178,"Faidherbia albida"
"195",0.635156154632568,"Faidherbia albida"
"196",0.678807139396667,"Faidherbia albida"
"197",0.672148525714874,"Faidherbia albida"
"198",0.661154270172119,"Faidherbia albida"
"199",0.671447038650513,"Faidherbia albida"
"200",0.653368830680847,"Faidherbia albida"
"201",0.621240437030792,"Faidherbia albida"
"202",0.60011088848114,"Faidherbia albida"
"203",0.549521148204803,"Faidherbia albida"
"204",0.52050107717514,"Faidherbia albida"
"205",0.536927461624146,"Faidherbia albida"
"206",0.662880957126617,"Faidherbia albida"
"207",0.702234029769897,"Faidherbia albida"
"208",0.719357013702393,"Faidherbia albida"
"209",0.722062289714813,"Faidherbia albida"
"210",0.706579267978668,"Faidherbia albida"
"211",0.692091226577759,"Faidherbia albida"
"212",0.682010531425476,"Faidherbia albida"
"213",0.691789925098419,"Faidherbia albida"
"214",0.693839251995087,"Faidherbia albida"
